OID_,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,join,GEO_ID,NAME_1,H1_001N,sqmile,Shape_Length,Shape_Area,housing_density
78,17,57407,2399616,1757407,Palos Park,Palos Park village,47,C1,N,N,G4110,A,16693431,313197,41.6661629,-87.8296016,1757407,1757407,"Palos Park village, Illinois",2023,6.5661669,228119.6143,183054222.1,308
79,17,57875,2396148,1757875,Park Ridge,Park Ridge city,25,C1,N,N,G4110,A,18356570,121232,42.0117617,-87.8434336,1757875,1757875,"Park Ridge city, Illinois",15366,7.1342239,80180.59525,198890750,2154
80,17,59572,2399667,1759572,Phoenix,Phoenix village,47,C1,N,N,G4110,A,1200803,0,41.6117814,-87.630852,1759572,1759572,"Phoenix village, Illinois",825,0.4636481,17308.68988,12925766.51,1779
81,17,61314,2399009,1761314,Posen,Posen village,47,C1,N,N,G4110,A,3027767,0,41.6290669,-87.6858424,1761314,1761314,"Posen village, Illinois",1920,1.1690472,28363.03894,32591164.85,1642
82,17,63706,2399068,1763706,Richton Park,Richton Park village,47,C1,N,N,G4110,A,11374920,31490,41.4801833,-87.742531,1763706,1763706,"Richton Park village, Illinois",5487,4.404068,122668.9055,122778366,1246
83,17,64278,2399086,1764278,Riverdale,Riverdale village,47,C1,N,N,G4110,A,9259988,452975,41.6426953,-87.6356402,1764278,1764278,"Riverdale village, Illinois",5087,3.7503054,53151.67549,104552515.3,1356
84,17,5404,2398101,1705404,Berkeley,Berkeley village,47,C1,N,N,G4110,A,3629888,0,41.8891162,-87.9114712,1705404,1705404,"Berkeley village, Illinois",1933,1.4014724,33942.70704,39070808.75,1379
85,17,5573,2394154,1705573,Berwyn,Berwyn city,25,C1,N,N,G4110,A,10112500,0,41.8433327,-87.7909258,1705573,1705573,"Berwyn city, Illinois",21037,3.9044352,45591.51715,108849405.8,5388
86,17,6704,2394203,1706704,Blue Island,Blue Island city,25,C1,N,N,G4110,A,10544392,223343,41.6575701,-87.6811256,1706704,1706704,"Blue Island city, Illinois",9137,4.1575217,75509.64847,115905057.6,2198
87,17,8225,2397453,1708225,Bridgeview,Bridgeview village,47,C1,N,N,G4110,A,10703235,0,41.7402806,-87.8066441,1708225,1708225,"Bridgeview village, Illinois",6156,4.1325135,82820.52499,115207865.9,1490
88,17,8446,2397460,1708446,Broadview,Broadview village,47,C1,N,N,G4110,A,4601714,0,41.8583672,-87.8561917,1708446,1708446,"Broadview village, Illinois",3353,1.7767068,34952.35705,49531741.73,1887
