OID_,agency,agency_des,comments,municipali,sdelength_,st_area_sh,Shape_Length,Shape_Area,PercentBlack,OBJECTID,agency_des_1,ZONE_CODE,COUNT,AREA,MEAN
397,1,PALATINE TWP, , ,2954.303742,537002.0604,2954.302512,537002.05,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
398,1,MAINE TWP, , ,4863.627804,1282887.696,4863.627383,1282887.652,,23,MAINE TWP,23,2767779,69192127.01,7.063656094
399,1,ORLAND TWP, , ,6484.100327,2513811.507,6484.100479,2513811.764,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
400,1,SCHAUMBURG TWP, , ,480.2170594,13964.73425,480.2165811,13964.70795,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
401,1,HANOVER TWP, , ,1695.818893,154870.913,1695.818765,154870.9382,,3,HANOVER TWP,3,2749887,68744842.19,3.208987133
402,1,RICH TWP, , ,1185.92811,87897.39042,1185.927476,87897.29645,,14,RICH TWP,14,2302273,57554871.91,5.041950281
403,1,MAINE TWP, , ,1958.606573,46105.87339,1958.606712,46105.90436,,23,MAINE TWP,23,2767779,69192127.01,7.063656094
404,1,BLOOM TWP, , ,3237.594638,264035.9123,3237.594851,264035.8471,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
405,1,BLOOM TWP, , ,2445.949872,231848.6457,2445.94935,231848.7052,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
406,1,ELK GROVE TWP, , ,12450.72394,3921741.668,12450.72524,3921728.507,,43,ELK GROVE TWP,43,1450520,36261769.48,7.045259631
407,1,ORLAND TWP, , ,324.7520384,6428.203508,324.752123,6428.202944,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
