OID_,agency,agency_des,comments,municipali,sdelength_,st_area_sh,Shape_Length,Shape_Area,PercentBlack,OBJECTID,agency_des_1,ZONE_CODE,COUNT,AREA,MEAN
214,1,SCHAUMBURG TWP, , ,40437.8401,20107596.08,40437.8399,20107595.84,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
215,1,ORLAND TWP, , ,1297.466813,96685.91004,1297.467821,96685.97636,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
216,1,BREMEN TWP, , ,566.2073816,19525.64835,566.2067445,19525.59942,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
217,1,THORNTON TWP, , ,616.7319223,18641.86735,616.7319979,18641.84401,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
218,1,THORNTON TWP, , ,1418.85417,65438.39392,1418.854546,65438.36176,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
219,1,THORNTON TWP, , ,357.5229796,5550.520593,357.5231503,5550.516191,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
220,1,THORNTON TWP, , ,444.9706437,9466.965124,444.9704331,9466.97163,,16,THORNTON TWP,16,1347109,33676582.21,6.990360839
221,1,ORLAND TWP, , ,2474.797119,220648.0629,2474.796971,220648.0698,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
222,1,ELK GROVE TWP, , ,54306.60961,148772018,54306.6086,148772017.9,,43,ELK GROVE TWP,43,1450520,36261769.48,7.045259631
223,1,BREMEN TWP, , ,2614.535879,203863.3002,2614.535847,203863.2578,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
224,1,BARRINGTON TWP, , ,10442.71537,6799807.171,10442.71564,6799807.244,,8,BARRINGTON TWP,8,643037,16075379.49,3.114811434
225,1,ORLAND TWP, , ,2340.924617,202958.5082,2340.924667,202958.5027,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
226,1,BLOOM TWP, , ,10069.11777,3304383.511,3921.672653,663167.6588,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
227,1,BREMEN TWP, , ,716.0022193,18072.62845,716.0016975,18072.59031,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
228,1,SCHAUMBURG TWP, , ,595.0494942,19636.22011,595.0496354,19636.22217,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
229,1,SCHAUMBURG TWP, , ,1915.011275,123970.8051,1915.01135,123970.8805,,30,SCHAUMBURG TWP,30,1428529,35712013.14,4.179084919
